frame,x,y,visible
0,-1.0,-1.0,0
1,-1.0,-1.0,0
2,-1.0,-1.0,0
3,-1.0,-1.0,0
4,-1.0,-1.0,0
5,-1.0,-1.0,0
6,1255.9,372.4,1
7,1255.9,372.4,1
8,1256.0,373.9,1
9,1256.0,375.4,1
10,-1.0,-1.0,0
11,-1.0,-1.0,0
12,-1.0,-1.0,0
13,-1.0,-1.0,0
14,-1.0,-1.0,0
15,-1.0,-1.0,0
16,-1.0,-1.0,0
17,-1.0,-1.0,0
18,-1.0,-1.0,0
19,-1.0,-1.0,0
20,-1.0,-1.0,0
21,-1.0,-1.0,0
22,-1.0,-1.0,0
23,-1.0,-1.0,0
24,-1.0,-1.0,0
25,-1.0,-1.0,0
26,-1.0,-1.0,0
27,-1.0,-1.0,0
28,-1.0,-1.0,0
29,-1.0,-1.0,0
30,-1.0,-1.0,0
31,-1.0,-1.0,0
32,-1.0,-1.0,0
33,-1.0,-1.0,0
34,-1.0,-1.0,0
35,-1.0,-1.0,0
36,-1.0,-1.0,0
37,-1.0,-1.0,0
38,-1.0,-1.0,0
39,-1.0,-1.0,0
40,-1.0,-1.0,0
41,-1.0,-1.0,0
42,-1.0,-1.0,0
43,-1.0,-1.0,0
44,-1.0,-1.0,0
45,-1.0,-1.0,0
46,-1.0,-1.0,0
47,-1.0,-1.0,0
48,-1.0,-1.0,0
49,-1.0,-1.0,0
50,-1.0,-1.0,0
51,-1.0,-1.0,0
52,-1.0,-1.0,0
53,-1.0,-1.0,0
54,-1.0,-1.0,0
55,-1.0,-1.0,0
56,-1.0,-1.0,0
57,-1.0,-1.0,0
58,-1.0,-1.0,0
59,-1.0,-1.0,0
60,-1.0,-1.0,0
61,-1.0,-1.0,0
62,-1.0,-1.0,0
63,-1.0,-1.0,0
64,-1.0,-1.0,0
65,-1.0,-1.0,0
66,-1.0,-1.0,0
67,-1.0,-1.0,0
68,-1.0,-1.0,0
69,-1.0,-1.0,0
70,-1.0,-1.0,0
71,-1.0,-1.0,0
72,-1.0,-1.0,0
73,-1.0,-1.0,0
74,-1.0,-1.0,0
75,-1.0,-1.0,0
76,-1.0,-1.0,0
77,-1.0,-1.0,0
78,-1.0,-1.0,0
79,-1.0,-1.0,0
80,-1.0,-1.0,0
81,-1.0,-1.0,0
82,-1.0,-1.0,0
83,-1.0,-1.0,0
84,-1.0,-1.0,0
85,-1.0,-1.0,0
86,-1.0,-1.0,0
87,-1.0,-1.0,0
88,-1.0,-1.0,0
89,-1.0,-1.0,0
90,-1.0,-1.0,0
91,-1.0,-1.0,0
92,-1.0,-1.0,0
93,-1.0,-1.0,0
94,-1.0,-1.0,0
95,-1.0,-1.0,0
96,-1.0,-1.0,0
97,-1.0,-1.0,0
98,-1.0,-1.0,0
99,-1.0,-1.0,0
100,-1.0,-1.0,0
101,-1.0,-1.0,0
102,-1.0,-1.0,0
103,-1.0,-1.0,0
104,-1.0,-1.0,0
105,-1.0,-1.0,0
106,-1.0,-1.0,0
107,-1.0,-1.0,0
108,-1.0,-1.0,0
109,-1.0,-1.0,0
110,-1.0,-1.0,0
111,1451.7,449.5,1
112,1451.7,449.5,1
113,1451.7,449.6,1
114,1444.9,425.6,1
115,1444.8,425.6,1
116,1444.8,425.5,1
117,1439.1,408.4,1
118,1439.1,408.4,1
119,1434.1,395.1,1
120,1434.0,395.1,1
121,1427.9,384.6,1
122,1427.9,384.6,1
123,1427.9,384.6,1
124,1421.9,378.6,1
125,1418.0,375.0,1
126,1418.0,375.0,1
127,1418.0,375.0,1
128,1418.0,375.0,1
129,1413.5,375.0,1
130,1409.0,377.7,1
131,1409.1,377.7,1
132,1409.1,377.7,1
133,1409.1,377.7,1
134,1403.8,384.0,1
135,1403.1,412.3,1
136,1401.5,421.9,1
137,-1.0,-1.0,0
138,-1.0,-1.0,0
139,-1.0,-1.0,0
140,-1.0,-1.0,0
141,-1.0,-1.0,0
142,-1.0,-1.0,0
143,1389.0,434.4,1
144,1389.0,434.4,1
145,1385.7,451.5,1
146,1385.7,451.5,1
147,1385.7,451.5,1
148,1383.0,471.4,1
149,1379.9,494.6,1
150,1379.9,494.6,1
151,1379.7,494.6,1
152,1377.7,519.8,1
153,1376.4,534.0,1
154,1375.1,544.0,1
155,1373.9,554.0,1
156,1372.6,564.0,1
157,1371.3,574.0,1
158,1371.3,574.0,1
159,1369.3,602.7,1
160,1369.4,602.8,1
161,1369.4,602.8,1
162,1366.7,598.2,1
163,1366.7,598.2,1
164,1365.8,614.0,1
165,1364.9,621.2,1
166,-1.0,-1.0,0
167,-1.0,-1.0,0
168,-1.0,-1.0,0
169,-1.0,-1.0,0
170,-1.0,-1.0,0
171,-1.0,-1.0,0
172,-1.0,-1.0,0
173,1283.4,567.8,1
174,1283.4,567.8,1
175,1283.4,567.8,1
176,1255.4,587.9,1
177,1255.5,588.0,1
178,1234.3,577.0,1
179,1234.3,577.0,1
180,1234.3,577.0,1
181,1213.1,571.6,1
182,1213.2,571.6,1
183,1193.4,568.1,1
184,1193.4,568.1,1
185,1193.4,568.1,1
186,1172.8,569.3,1
187,1172.8,569.3,1
188,1154.8,571.9,1
189,1154.8,571.9,1
190,1155.0,572.0,1
191,1141.5,602.5,1
192,1134.8,612.1,1
193,1126.7,596.8,1
194,1118.5,581.6,1
195,1118.7,581.5,1
196,1100.4,590.6,1
197,1100.4,590.6,1
198,1088.4,599.1,1
199,1079.7,605.6,1
200,1058.9,593.6,1
201,1058.9,593.7,1
202,1035.9,589.5,1
203,1035.9,589.5,1
204,1035.9,589.5,1
205,1013.6,590.5,1
206,1013.6,590.6,1
207,990.0,592.4,1
208,990.0,592.4,1
209,990.0,592.4,1
210,964.2,597.7,1
211,964.3,597.7,1
212,936.8,603.7,1
213,936.8,603.7,1
214,936.8,603.7,1
215,908.2,613.3,1
216,908.2,613.1,1
217,902.6,648.8,1
218,894.0,660.4,1
219,872.9,638.9,1
220,851.7,617.3,1
221,819.9,626.3,1
222,819.9,626.3,1
223,819.9,626.3,1
224,789.9,629.9,1
225,789.9,629.8,1
226,761.5,632.9,1
227,761.5,632.9,1
228,761.5,632.9,1
229,732.2,633.7,1
230,732.2,633.8,1
231,704.9,633.5,1
232,704.9,633.5,1
233,704.9,633.5,1
